ID,GenderSelect,Country,Age,CurrentJobTitleSelect,LanguageRecommendationSelect,FormalEducation,Tenure,MLSkillsSelect,MLTechniquesSelect,EmployerSize,WorkChallengeFrequencyExplaining,WorkChallengeFrequencyTalent,WorkChallengeFrequencyClarity,WorkChallengeFrequencyDataAccess,CompensationScore,WorkMLTeamSeatSelect,RemoteWork,JobSatisfaction,Continent,Income,IncomeCurrency
1271,Male,India,28.0,Data Analyst,Python,Bachelor's degree,I don't write code to analyze data,"Adversarial Learning,Computer Vision,Machine Translation,Recommendation Engines,Reinforcement learning","Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs",20 to 99 employees,,,,,8.0,IT Department,,1,AS_,72908,euro
1272,Male,United States of America,33.0,Scientist/Researcher,Python,Master's degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Hidden Markov Models HMMs,Logistic Regression,Support Vector Machines (SVMs)","5,000 to 9,999 employees",Often,Sometimes,,Often,3.0,Other,Sometimes,7,NA_,144684,dollar
1273,Female,United States of America,53.0,Data Scientist,SQL,Bachelor's degree,More than 10 years,"Adversarial Learning,Computer Vision,Machine Translation,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Speech Recognition,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,,,,,5.0,Business Department,Sometimes,10,NA_,127400,dollar
1274,Male,Canada,39.0,Software Developer/Software Engineer,R,Master's degree,More than 10 years,"Machine Translation,Natural Language Processing","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression","10,000 or more employees",,Most of the time,,,2.0,IT Department,Rarely,5,NA_,154001,dollar
1275,Male,United States of America,38.0,Computer Scientist,Python,Master's degree,3 to 5 years,"Computer Vision,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs","1,000 to 4,999 employees",,,Sometimes,,,IT Department,Never,6,NA_,127645,dollar
1276,Male,United States of America,55.0,Operations Research Practitioner,R,Master's degree,More than 10 years,Other (please specify; separate by semi-colon),Logistic Regression,100 to 499 employees,,,,Most of the time,4.0,Other,Rarely,8,NA_,165920,dollar
1277,Female,China,26.0,Data Scientist,Python,Bachelor's degree,3 to 5 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",20 to 99 employees,,,,,8.0,IT Department,Never,5,AS_,101663,euro
1278,Male,United States of America,25.0,Software Developer/Software Engineer,Python,Bachelor's degree,3 to 5 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Ensemble Methods,Logistic Regression","10,000 or more employees",Sometimes,Rarely,,Often,3.0,Business Department,Rarely,10,NA_,78551,dollar
1279,Male,Germany,43.0,Software Developer/Software Engineer,Python,Master's degree,1 to 2 years,Supervised Machine Learning (Tabular Data),Bayesian Techniques,"10,000 or more employees",,Sometimes,,,2.0,IT Department,Rarely,8,EU_,107586,euro
1280,Male,India,38.0,Computer Scientist,Python,Master's degree,More than 10 years,"Adversarial Learning,Computer Vision,Unsupervised Learning","Ensemble Methods,Neural Networks - CNNs,Neural Networks - GANs,Support Vector Machines (SVMs)","10,000 or more employees",,,Sometimes,,0.0,Standalone Team,Sometimes,8,AS_,115755,euro
1281,Male,Norway,37.0,Programmer,Python,Master's degree,More than 10 years,Natural Language Processing,Neural Networks - RNNs,"1,000 to 4,999 employees",,,,,,IT Department,,10,EU_,128226,euro
1282,Female,Russia,21.0,Data Scientist,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)","5,000 to 9,999 employees",Most of the time,,Most of the time,,,IT Department,Rarely,8,EU_,100525,euro
1283,Male,France,23.0,Machine Learning Engineer,Python,Master's degree,1 to 2 years,"Computer Vision,Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,,,,,1.0,Standalone Team,Always,9,EU_,88918,euro
1284,Male,United States of America,26.0,Data Scientist,SQL,Bachelor's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Logistic Regression",100 to 499 employees,,Sometimes,,,4.0,IT Department,Always,9,NA_,89329,dollar
1285,Female,Brazil,34.0,Scientist/Researcher,R,Doctoral degree,6 to 10 years,"Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs)",20 to 99 employees,,,,Most of the time,,Standalone Team,,5,SA_,122458,euro
1286,Male,Russia,27.0,Other,Other,Doctoral degree,6 to 10 years,"Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis,Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Logistic Regression,Neural Networks - RNNs,Support Vector Machines (SVMs)",10 to 19 employees,,,Most of the time,Sometimes,,Other,Sometimes,9,EU_,108689,euro
1287,Female,United States of America,26.0,Data Analyst,Python,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression","1,000 to 4,999 employees",,,,,2.0,Other,Rarely,8,NA_,123359,dollar
1288,Male,United States of America,23.0,Machine Learning Engineer,Python,Bachelor's degree,3 to 5 years,"Computer Vision,Unsupervised Learning","Ensemble Methods,Evolutionary Approaches,Neural Networks - CNNs,Neural Networks - GANs",20 to 99 employees,,Sometimes,Sometimes,Often,4.0,Other,Rarely,9,NA_,58788,dollar
1289,Male,United States of America,30.0,Software Developer/Software Engineer,Python,Master's degree,3 to 5 years,"Computer Vision,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Support Vector Machines (SVMs)",Fewer than 10 employees,,,,,3.0,Other,Rarely,5,NA_,149435,dollar
1290,Female,United States of America,32.0,Researcher,Python,Doctoral degree,3 to 5 years,Other (please specify; separate by semi-colon),Support Vector Machines (SVMs),"1,000 to 4,999 employees",,,,,2.0,Central Insights Team,Sometimes,10,NA_,174733,dollar
1291,Male,United States of America,30.0,Other,Python,Bachelor's degree,3 to 5 years,"Outlier detection (e.g. Fraud detection),Survival Analysis",Logistic Regression,100 to 499 employees,,Most of the time,Sometimes,Often,,Other,Never,7,NA_,87988,dollar
1292,Male,Switzerland,30.0,Data Analyst,Python,Master's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Logistic Regression","10,000 or more employees",Sometimes,Most of the time,Most of the time,Sometimes,4.0,IT Department,Sometimes,7,EU_,119541,euro
1293,Male,United States of America,26.0,Data Analyst,Python,Master's degree,3 to 5 years,"Adversarial Learning,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)","10,000 or more employees",,,Often,,4.0,Business Department,Sometimes,4,NA_,158427,dollar
1294,Male,United States of America,25.0,Predictive Modeler,R,Master's degree,3 to 5 years,"Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",100 to 499 employees,,,,Often,5.0,Other,Never,8,NA_,119542,dollar
1295,Male,Poland,28.0,Machine Learning Engineer,Python,Master's degree,3 to 5 years,Computer Vision,"Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",,,Most of the time,Often,,2.0,Standalone Team,Sometimes,7,EU_,107592,euro
1296,Male,United States of America,32.0,Scientist/Researcher,Python,Doctoral degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Logistic Regression",Fewer than 10 employees,,Often,,Most of the time,3.0,Central Insights Team,Rarely,7,NA_,168986,dollar
1297,Male,Belgium,48.0,Data Scientist,R,Doctoral degree,More than 10 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Other (please specify; separate by semi-colon)",,,,,,,IT Department,Sometimes,10,EU_,123715,euro
1298,Male,Other,24.0,Machine Learning Engineer,Matlab,Master's degree,Less than a year,"Computer Vision,Natural Language Processing,Recommendation Engines,Speech Recognition,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",10 to 19 employees,,,,,,IT Department,Never,7,Other_,86230,euro
1299,Male,Germany,39.0,Software Developer/Software Engineer,Python,Other,6 to 10 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Survival Analysis,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs",100 to 499 employees,Often,Often,Often,Often,2.0,IT Department,Rarely,9,EU_,102794,euro
1300,Male,India,29.0,Other,Python,Bachelor's degree,6 to 10 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Logistic Regression",100 to 499 employees,,,Most of the time,,8.0,Standalone Team,Rarely,6,AS_,65230,euro
1301,Male,India,23.0,Data Scientist,Python,Master's degree,Less than a year,Outlier detection (e.g. Fraud detection),Support Vector Machines (SVMs),"1,000 to 4,999 employees",,,,Sometimes,8.0,Standalone Team,Sometimes,9,AS_,98154,euro
1302,Female,Turkey,27.0,Researcher,Python,Master's degree,1 to 2 years,Natural Language Processing,"Hidden Markov Models HMMs,Logistic Regression,Neural Networks - RNNs",20 to 99 employees,,,,Often,1.0,Other,Sometimes,7,AS_,123357,euro
1303,Male,Germany,41.0,Machine Learning Engineer,Python,Doctoral degree,More than 10 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs",10 to 19 employees,,Sometimes,Sometimes,Sometimes,3.0,Standalone Team,Sometimes,8,EU_,141631,euro
1304,Male,Belarus,24.0,Software Developer/Software Engineer,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",20 to 99 employees,Often,Most of the time,Sometimes,,7.0,IT Department,Sometimes,8,EU_,56432,euro
1305,Male,United States of America,29.0,Other,Python,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)","1,000 to 4,999 employees",,Most of the time,Most of the time,,1.0,Other,Sometimes,5,NA_,131654,dollar
1306,Male,Romania,36.0,Other,Python,Other,3 to 5 years,"Recommendation Engines,Time Series",Other (please specify; separate by semi-colon),20 to 99 employees,,Most of the time,,,8.0,Business Department,Rarely,4,EU_,112475,euro
1307,Male,Canada,28.0,Scientist/Researcher,R,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Survival Analysis","Decision Trees - Random Forests,Ensemble Methods,Logistic Regression","10,000 or more employees",,,,,1.0,Standalone Team,,6,NA_,113438,dollar
1308,Male,Australia,27.0,Data Miner,R,Master's degree,1 to 2 years,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Logistic Regression","1,000 to 4,999 employees",,,,,1.0,Standalone Team,Never,10,OC_,120481,euro
1309,Male,South Korea,39.0,Researcher,Python,Master's degree,3 to 5 years,"Computer Vision,Supervised Machine Learning (Tabular Data),Time Series","Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)","1,000 to 4,999 employees",,Most of the time,,,0.0,Central Insights Team,Sometimes,7,AS_,120543,euro
1310,Male,Canada,52.0,DBA/Database Engineer,Python,Master's degree,1 to 2 years,"Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)","10,000 or more employees",,Often,,,3.0,IT Department,Sometimes,7,NA_,157807,dollar
1311,Female,Spain,31.0,Data Scientist,R,Doctoral degree,6 to 10 years,Time Series,Decision Trees - Random Forests,500 to 999 employees,,,Most of the time,Often,2.0,Standalone Team,Sometimes,8,EU_,127436,euro
1312,Male,Norway,34.0,Data Analyst,Python,Bachelor's degree,3 to 5 years,Supervised Machine Learning (Tabular Data),Decision Trees - Random Forests,"10,000 or more employees",,,,,8.0,Standalone Team,Sometimes,6,EU_,119288,euro
1313,Male,United States of America,50.0,Scientist/Researcher,R,Doctoral degree,More than 10 years,"Supervised Machine Learning (Tabular Data),Unsupervised Learning",Logistic Regression,"1,000 to 4,999 employees",Sometimes,,Often,Sometimes,8.0,IT Department,Sometimes,7,NA_,157654,dollar
1314,Female,Italy,25.0,Software Developer/Software Engineer,Python,Master's degree,3 to 5 years,Recommendation Engines,"Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Gradient Boosting",20 to 99 employees,,,,Sometimes,2.0,IT Department,Rarely,8,EU_,104570,euro
1315,Male,Germany,26.0,Scientist/Researcher,Other,Master's degree,6 to 10 years,"Computer Vision,Outlier detection (e.g. Fraud detection),Recommendation Engines,Reinforcement learning,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Hidden Markov Models HMMs,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",Fewer than 10 employees,,Sometimes,,Most of the time,,IT Department,Sometimes,4,EU_,127489,euro
1316,Female,India,28.0,Data Analyst,C/C++/C#,Bachelor's degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Survival Analysis","Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)","10,000 or more employees",,,,,,Standalone Team,Sometimes,3,AS_,79920,euro
1317,Male,Chile,32.0,Scientist/Researcher,Python,Other,Less than a year,"Supervised Machine Learning (Tabular Data),Unsupervised Learning","Logistic Regression,Neural Networks - CNNs","5,000 to 9,999 employees",,Often,,,0.0,Other,Sometimes,7,SA_,83777,euro
1318,Male,China,35.0,Researcher,C/C++/C#,Doctoral degree,3 to 5 years,Supervised Machine Learning (Tabular Data),"Bayesian Techniques,Decision Trees - Random Forests,Ensemble Methods,Evolutionary Approaches,Logistic Regression,Neural Networks - CNNs,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",20 to 99 employees,,Often,,,,Business Department,Sometimes,3,AS_,152462,euro
1319,Male,United States of America,,Other,Python,Master's degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series",Logistic Regression,"10,000 or more employees",,,,,,Other,,6,NA_,163575,dollar
1320,Male,United Kingdom,26.0,Data Scientist,Python,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - GANs,Neural Networks - RNNs,Support Vector Machines (SVMs)",20 to 99 employees,,Often,,,1.0,Standalone Team,Never,9,EU_,115727,euro
1321,Male,Pakistan,26.0,Data Scientist,R,Bachelor's degree,3 to 5 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression","10,000 or more employees",Often,,Sometimes,,,Standalone Team,Rarely,7,AS_,111749,euro
1322,Male,Other,41.0,Other,Python,Master's degree,More than 10 years,"Computer Vision,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Support Vector Machines (SVMs)","1,000 to 4,999 employees",Often,Often,,,4.0,IT Department,Sometimes,8,Other_,108512,euro
1323,Male,Finland,26.0,Other,R,Master's degree,1 to 2 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Bayesian Techniques,Logistic Regression","1,000 to 4,999 employees",,,Often,Sometimes,1.0,Other,Sometimes,7,EU_,98178,euro
1324,Male,United States of America,31.0,Data Scientist,R,Bachelor's degree,More than 10 years,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning,Other (please specify; separate by semi-colon)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",100 to 499 employees,,,Most of the time,,7.0,Other,Rarely,10,NA_,124641,dollar
1325,Female,United States of America,34.0,Data Scientist,Python,Master's degree,3 to 5 years,"Natural Language Processing,Reinforcement learning,Supervised Machine Learning (Tabular Data)","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Support Vector Machines (SVMs)",500 to 999 employees,,,,,4.0,Standalone Team,Rarely,10,NA_,154455,dollar
1326,Male,Brazil,54.0,Software Developer/Software Engineer,R,Doctoral degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Hidden Markov Models HMMs,Logistic Regression,Markov Logic Networks,Support Vector Machines (SVMs)",,,,Most of the time,,,IT Department,Rarely,5,SA_,153504,euro
1327,Male,Spain,32.0,Researcher,Python,Doctoral degree,6 to 10 years,Recommendation Engines,"Bayesian Techniques,Logistic Regression","1,000 to 4,999 employees",,,,Most of the time,1.0,Central Insights Team,Sometimes,7,EU_,157297,euro
1328,Female,United States of America,32.0,Predictive Modeler,SQL,Master's degree,3 to 5 years,"Survival Analysis,Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Logistic Regression,Markov Logic Networks,Neural Networks - CNNs,Support Vector Machines (SVMs)","1,000 to 4,999 employees",,,,,,Standalone Team,Sometimes,6,NA_,164422,dollar
1329,Male,United States of America,66.0,Data Scientist,SAS,Master's degree,More than 10 years,"Outlier detection (e.g. Fraud detection),Speech Recognition,Survival Analysis,Time Series","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Neural Networks - GANs,Neural Networks - RNNs","1,000 to 4,999 employees",,Sometimes,,,4.0,Standalone Team,Sometimes,10,NA_,122201,dollar
1330,Male,Brazil,27.0,Data Scientist,Python,Bachelor's degree,1 to 2 years,"Computer Vision,Supervised Machine Learning (Tabular Data)","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Neural Networks - CNNs","10,000 or more employees",,Most of the time,,Sometimes,,Other,Sometimes,8,SA_,64851,euro
1331,Male,France,38.0,Data Scientist,Python,Doctoral degree,3 to 5 years,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Random Forests,Ensemble Methods,Logistic Regression",,,,,,,Central Insights Team,Sometimes,8,EU_,137477,euro
1332,Male,Poland,57.0,Data Scientist,Other,Doctoral degree,More than 10 years,Supervised Machine Learning (Tabular Data),Other (please specify; separate by semi-colon),20 to 99 employees,,Most of the time,,Often,,IT Department,Sometimes,10,EU_,153162,euro
1333,Male,India,31.0,Data Analyst,Matlab,Master's degree,3 to 5 years,"Supervised Machine Learning (Tabular Data),Other (please specify; separate by semi-colon)","Decision Trees - Random Forests,Logistic Regression",10 to 19 employees,,,Most of the time,Most of the time,8.0,Standalone Team,Never,6,AS_,132914,euro
1334,Male,India,25.0,Software Developer/Software Engineer,Python,Master's degree,1 to 2 years,"Computer Vision,Machine Translation,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Speech Recognition,Unsupervised Learning","Decision Trees - Random Forests,Logistic Regression,Neural Networks - CNNs,Neural Networks - RNNs,Support Vector Machines (SVMs)",20 to 99 employees,,,,,,Other,Rarely,8,AS_,128938,euro
1335,Male,Norway,43.0,Programmer,Python,Master's degree,3 to 5 years,,,20 to 99 employees,,Most of the time,,,,,Rarely,7,EU_,121834,euro
1336,Male,Portugal,33.0,Machine Learning Engineer,Python,Doctoral degree,6 to 10 years,"Recommendation Engines,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",100 to 499 employees,,Often,,,,Standalone Team,Rarely,8,EU_,139407,euro
1337,Female,United States of America,28.0,Data Scientist,Python,Master's degree,6 to 10 years,"Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression",100 to 499 employees,,,,Often,0.0,Standalone Team,Always,10,NA_,155303,dollar
1338,Female,United Kingdom,31.0,Data Analyst,SQL,Doctoral degree,1 to 2 years,"Natural Language Processing,Recommendation Engines,Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Logistic Regression,Support Vector Machines (SVMs)","1,000 to 4,999 employees",Often,Most of the time,,Often,1.0,Standalone Team,Never,7,EU_,159330,euro
1339,Male,Other,20.0,Data Scientist,Python,Bachelor's degree,1 to 2 years,Supervised Machine Learning (Tabular Data),"Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Neural Networks - CNNs,Support Vector Machines (SVMs)",,,,,,,Other,Sometimes,8,Other_,100672,euro
1340,Female,United States of America,43.0,DBA/Database Engineer,C/C++/C#,Master's degree,1 to 2 years,Supervised Machine Learning (Tabular Data),"Bayesian Techniques,Decision Trees - Random Forests,Support Vector Machines (SVMs)",100 to 499 employees,,,,,,IT Department,Never,10,NA_,153520,dollar
1341,Male,Ukraine,34.0,Business Analyst,Python,Master's degree,3 to 5 years,"Adversarial Learning,Outlier detection (e.g. Fraud detection),Time Series","Bayesian Techniques,Decision Trees - Gradient Boosted Machines,Logistic Regression",20 to 99 employees,,Sometimes,,Sometimes,7.0,Business Department,Sometimes,7,EU_,140000,euro
1342,Female,United States of America,30.0,Data Scientist,Python,Master's degree,3 to 5 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression,Support Vector Machines (SVMs),Other (please specify; separate by semi-colon)","10,000 or more employees",,,,,4.0,Central Insights Team,Sometimes,7,NA_,161251,dollar
1343,Female,United States of America,34.0,Data Scientist,Python,Doctoral degree,More than 10 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Time Series","Decision Trees - Random Forests,Logistic Regression","10,000 or more employees",Sometimes,,,,5.0,Standalone Team,Sometimes,8,NA_,161565,dollar
1344,Male,Ireland,34.0,Data Scientist,R,Doctoral degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Time Series,Unsupervised Learning","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Logistic Regression","10,000 or more employees",,Often,,Most of the time,3.0,IT Department,Sometimes,1,EU_,133593,euro
1345,Male,United States of America,41.0,Other,Matlab,Doctoral degree,More than 10 years,"Computer Vision,Natural Language Processing,Outlier detection (e.g. Fraud detection),Time Series","Bayesian Techniques,Support Vector Machines (SVMs)","1,000 to 4,999 employees",,,,Sometimes,,Other,Never,8,NA_,145280,dollar
1346,Male,Iran,23.0,Computer Scientist,Python,Master's degree,3 to 5 years,"Machine Translation,Natural Language Processing,Supervised Machine Learning (Tabular Data),Unsupervised Learning","Gradient Boosting,Neural Networks - CNNs,Support Vector Machines (SVMs)",,,,,,8.0,Standalone Team,Sometimes,7,AS_,89803,euro
1347,Male,United States of America,28.0,Data Scientist,Python,Bachelor's degree,6 to 10 years,"Outlier detection (e.g. Fraud detection),Supervised Machine Learning (Tabular Data),Survival Analysis","Decision Trees - Gradient Boosted Machines,Decision Trees - Random Forests,Ensemble Methods,Gradient Boosting,Logistic Regression,Support Vector Machines (SVMs)",,,Most of the time,,,3.0,IT Department,Sometimes,8,NA_,64299,dollar
1348,Female,Spain,52.0,Data Scientist,Python,Doctoral degree,6 to 10 years,"Supervised Machine Learning (Tabular Data),Other (please specify; separate by semi-colon)","Bayesian Techniques,Other (please specify; separate by semi-colon)",,,,,Often,0.0,Standalone Team,Always,2,EU_,153763,euro
1349,Male,Other,37.0,Business Analyst,R,Master's degree,1 to 2 years,"Outlier detection (e.g. Fraud detection),Time Series","Bayesian Techniques,Logistic Regression",,Most of the time,Most of the time,Most of the time,Most of the time,3.0,Standalone Team,Sometimes,7,Other_,105346,euro
1350,Male,Denmark,34.0,Scientist/Researcher,Python,Doctoral degree,More than 10 years,Supervised Machine Learning (Tabular Data),"Decision Trees - Random Forests,Logistic Regression","5,000 to 9,999 employees",,,,Sometimes,8.0,Standalone Team,Sometimes,6,EU_,132682,euro
